token,in_rtlib,in_metallib,in_a
air.add_sat.s.v3i16,0,0,2
air.add_sat.s.v3i32,0,0,2
air.add_sat.s.v3i64,0,0,2
air.add_sat.s.v3i8,0,0,2
air.add_sat.s.v4i16,0,0,2
air.add_sat.s.v4i32,0,0,2
air.add_sat.s.v4i64,0,0,2
air.add_sat.s.v4i8,0,0,2
air.add_sat.s.v8i16,0,0,2
air.add_sat.s.v8i32,0,0,2
air.add_sat.s.v8i64,0,0,2
air.add_sat.s.v8i8,0,0,2
air.add_sat.u.i16,0,0,2
air.add_sat.u.i32,0,0,2
air.add_sat.u.i64,0,0,2
air.add_sat.u.i8,0,0,2
air.add_sat.u.v16i16,0,0,2
air.add_sat.u.v16i32,0,0,2
air.add_sat.u.v16i64,0,0,2
air.add_sat.u.v16i8,0,0,2
air.add_sat.u.v2i16,0,0,2
air.add_sat.u.v2i32,0,0,2
air.add_sat.u.v2i64,0,0,2
air.add_sat.u.v2i8,0,0,2
air.add_sat.u.v3i16,0,0,2
air.add_sat.u.v3i32,0,0,2
air.add_sat.u.v3i64,0,0,2
air.add_sat.u.v3i8,0,0,2
air.add_sat.u.v4i16,0,0,2
air.add_sat.u.v4i32,0,0,2
air.add_sat.u.v4i64,0,0,2
air.add_sat.u.v4i8,0,0,2
air.add_sat.u.v8i16,0,0,2
air.add_sat.u.v8i32,0,0,2
air.add_sat.u.v8i64,0,0,2
air.add_sat.u.v8i8,0,0,2
air.all.v16i1,0,0,2
air.all.v2i1,0,0,2
air.all.v3i1,0,10,12
air.all.v4i1,0,10,12
air.all.v8i1,0,0,2
air.any.v16i1,0,0,2
air.any.v2i1,0,0,2
air.any.v3i1,11,0,12
air.any.v4i1,0,0,2
air.any.v8i1,0,0,2
air.asin.f16,0,0,2
air.asin.f32,0,0,1
air.asin.f64,0,0,2
air.asin.v16f16,0,0,2
air.asin.v16f32,0,0,1
air.asin.v16f64,0,0,2
air.asin.v2f16,0,0,2
air.asin.v2f32,0,0,1
air.asin.v2f64,0,0,2
air.asin.v3f16,0,0,2
air.asin.v3f32,0,0,1
air.asin.v3f64,0,0,2
air.asin.v4f16,0,0,2
air.asin.v4f32,0,0,1
air.asin.v4f64,0,0,2
air.asin.v8f16,0,0,2
air.asin.v8f32,0,0,1
air.asin.v8f64,0,0,2
air.asinh.f16,0,0,2
air.asinh.f32,0,0,1
air.asinh.f64,0,0,2
air.asinh.v16f16,0,0,2
air.asinh.v16f32,0,0,1
air.asinh.v16f64,0,0,2
air.asinh.v2f16,0,0,2
air.asinh.v2f32,0,0,1
air.asinh.v2f64,0,0,2
air.asinh.v3f16,0,0,2
air.asinh.v3f32,0,0,1
air.asinh.v3f64,0,0,2
air.asinh.v4f16,0,0,2
air.asinh.v4f32,0,0,1
air.asinh.v4f64,0,0,2
air.asinh.v8f16,0,0,2
air.asinh.v8f32,0,0,1
air.asinh.v8f64,0,0,2
air.asinpi.f16,0,0,2
air.asinpi.f32,0,0,2
air.asinpi.f64,0,0,2
air.asinpi.v16f16,0,0,2
air.asinpi.v16f32,0,0,2
air.asinpi.v16f64,0,0,2
air.asinpi.v2f16,0,0,2
air.asinpi.v2f32,0,0,2
air.asinpi.v2f64,0,0,2
air.asinpi.v3f16,0,0,2
air.asinpi.v3f32,0,0,2
air.asinpi.v3f64,0,0,2
air.asinpi.v4f16,0,0,2
air.asinpi.v4f32,0,0,2
air.asinpi.v4f64,0,0,2
air.asinpi.v8f16,0,0,2
air.asinpi.v8f32,0,0,2
air.asinpi.v8f64,0,0,2
air.async_wg_copy.p1f16.p3f16,0,0,2
air.async_wg_copy.p1f32.p3f32,0,0,2
air.async_wg_copy.p1f64.p3f64,0,0,2
air.async_wg_copy.p1i16.p3i16,0,0,2
air.async_wg_copy.p1i32.p3i32,0,0,2
air.async_wg_copy.p1i64.p3i64,0,0,2
air.async_wg_copy.p1i8.p3i8,0,0,2
air.async_wg_copy.p1v16f16.p3v16f16,0,0,2
air.async_wg_copy.p1v16f32.p3v16f32,0,0,2
air.async_wg_copy.p1v16f64.p3v16f64,0,0,2
air.async_wg_copy.p1v16i16.p3v16i16,0,0,2
air.async_wg_copy.p1v16i32.p3v16i32,0,0,2
air.async_wg_copy.p1v16i64.p3v16i64,0,0,2
air.async_wg_copy.p1v16i8.p3v16i8,0,0,2
air.async_wg_copy.p1v2f16.p3v2f16,0,0,2
air.async_wg_copy.p1v2f32.p3v2f32,0,0,2
air.async_wg_copy.p1v2f64.p3v2f64,0,0,2
air.async_wg_copy.p1v2i16.p3v2i16,0,0,2
air.async_wg_copy.p1v2i32.p3v2i32,0,0,2
air.async_wg_copy.p1v2i64.p3v2i64,0,0,2
air.async_wg_copy.p1v2i8.p3v2i8,0,0,2
air.async_wg_copy.p1v3f16.p3v3f16,0,0,2
air.async_wg_copy.p1v3f32.p3v3f32,0,0,2
air.async_wg_copy.p1v3f64.p3v3f64,0,0,2
air.async_wg_copy.p1v3i16.p3v3i16,0,0,2
air.async_wg_copy.p1v3i32.p3v3i32,0,0,2
air.async_wg_copy.p1v3i64.p3v3i64,0,0,2
air.async_wg_copy.p1v3i8.p3v3i8,0,0,2
air.async_wg_copy.p1v4f16.p3v4f16,0,0,2
air.async_wg_copy.p1v4f32.p3v4f32,0,0,2
air.async_wg_copy.p1v4f64.p3v4f64,0,0,2
air.async_wg_copy.p1v4i16.p3v4i16,0,0,2
air.async_wg_copy.p1v4i32.p3v4i32,0,0,2
air.async_wg_copy.p1v4i64.p3v4i64,0,0,2
air.async_wg_copy.p1v4i8.p3v4i8,0,0,2
air.async_wg_copy.p1v8f16.p3v8f16,0,0,2
air.async_wg_copy.p1v8f32.p3v8f32,0,0,2
air.async_wg_copy.p1v8f64.p3v8f64,0,0,2
air.async_wg_copy.p1v8i16.p3v8i16,0,0,2
air.async_wg_copy.p1v8i32.p3v8i32,0,0,2
air.async_wg_copy.p1v8i64.p3v8i64,0,0,2
air.async_wg_copy.p1v8i8.p3v8i8,0,0,2
air.async_wg_copy.p3f16.p1f16,0,0,2
air.async_wg_copy.p3f32.p1f32,0,0,2
air.async_wg_copy.p3f64.p1f64,0,0,2
air.async_wg_copy.p3i16.p1i16,0,0,2
air.async_wg_copy.p3i32.p1i32,0,0,2
air.async_wg_copy.p3i64.p1i64,0,0,2
air.async_wg_copy.p3i8.p1i8,0,0,2
air.async_wg_copy.p3v16f16.p1v16f16,0,0,2
air.async_wg_copy.p3v16f32.p1v16f32,0,0,2
air.async_wg_copy.p3v16f64.p1v16f64,0,0,2
air.async_wg_copy.p3v16i16.p1v16i16,0,0,2
air.async_wg_copy.p3v16i32.p1v16i32,0,0,2
air.async_wg_copy.p3v16i64.p1v16i64,0,0,2
air.async_wg_copy.p3v16i8.p1v16i8,0,0,2
air.async_wg_copy.p3v2f16.p1v2f16,0,0,2
air.async_wg_copy.p3v2f32.p1v2f32,0,0,2
air.async_wg_copy.p3v2f64.p1v2f64,0,0,2
air.async_wg_copy.p3v2i16.p1v2i16,0,0,2
air.async_wg_copy.p3v2i32.p1v2i32,0,0,2
air.async_wg_copy.p3v2i64.p1v2i64,0,0,2
air.async_wg_copy.p3v2i8.p1v2i8,0,0,2
air.async_wg_copy.p3v3f16.p1v3f16,0,0,2
air.async_wg_copy.p3v3f32.p1v3f32,0,0,2
air.async_wg_copy.p3v3f64.p1v3f64,0,0,2
air.async_wg_copy.p3v3i16.p1v3i16,0,0,2
air.async_wg_copy.p3v3i32.p1v3i32,0,0,2
air.async_wg_copy.p3v3i64.p1v3i64,0,0,2
air.async_wg_copy.p3v3i8.p1v3i8,0,0,2
air.async_wg_copy.p3v4f16.p1v4f16,0,0,2
air.async_wg_copy.p3v4f32.p1v4f32,0,0,2
air.async_wg_copy.p3v4f64.p1v4f64,0,0,2
air.async_wg_copy.p3v4i16.p1v4i16,0,0,2
air.async_wg_copy.p3v4i32.p1v4i32,0,0,2
air.async_wg_copy.p3v4i64.p1v4i64,0,0,2
air.async_wg_copy.p3v4i8.p1v4i8,0,0,2
air.async_wg_copy.p3v8f16.p1v8f16,0,0,2
air.async_wg_copy.p3v8f32.p1v8f32,0,0,2
air.async_wg_copy.p3v8f64.p1v8f64,0,0,2
air.async_wg_copy.p3v8i16.p1v8i16,0,0,2
air.async_wg_copy.p3v8i32.p1v8i32,0,0,2
air.async_wg_copy.p3v8i64.p1v8i64,0,0,2
air.async_wg_copy.p3v8i8.p1v8i8,0,0,2
air.async_wg_strided_copy.p1f16.p3f16,0,0,2
air.async_wg_strided_copy.p1f32.p3f32,0,0,2
air.async_wg_strided_copy.p1f64.p3f64,0,0,2
air.async_wg_strided_copy.p1i16.p3i16,0,0,2
air.async_wg_strided_copy.p1i32.p3i32,0,0,2
air.async_wg_strided_copy.p1i64.p3i64,0,0,2
air.async_wg_strided_copy.p1i8.p3i8,0,0,2
air.async_wg_strided_copy.p1v16f16.p3v16f16,0,0,2
air.async_wg_strided_copy.p1v16f32.p3v16f32,0,0,2
air.async_wg_strided_copy.p1v16f64.p3v16f64,0,0,2
air.async_wg_strided_copy.p1v16i16.p3v16i16,0,0,2
air.async_wg_strided_copy.p1v16i32.p3v16i32,0,0,2
air.async_wg_strided_copy.p1v16i64.p3v16i64,0,0,2
air.async_wg_strided_copy.p1v16i8.p3v16i8,0,0,2
air.async_wg_strided_copy.p1v2f16.p3v2f16,0,0,2
air.async_wg_strided_copy.p1v2f32.p3v2f32,0,0,2
air.async_wg_strided_copy.p1v2f64.p3v2f64,0,0,2
air.async_wg_strided_copy.p1v2i16.p3v2i16,0,0,2
air.async_wg_strided_copy.p1v2i32.p3v2i32,0,0,2
air.async_wg_strided_copy.p1v2i64.p3v2i64,0,0,2
air.async_wg_strided_copy.p1v2i8.p3v2i8,0,0,2
air.async_wg_strided_copy.p1v3f16.p3v3f16,0,0,2
air.async_wg_strided_copy.p1v3f32.p3v3f32,0,0,2
air.async_wg_strided_copy.p1v3f64.p3v3f64,0,0,2
air.async_wg_strided_copy.p1v3i16.p3v3i16,0,0,2
air.async_wg_strided_copy.p1v3i32.p3v3i32,0,0,2
air.async_wg_strided_copy.p1v3i64.p3v3i64,0,0,2
air.async_wg_strided_copy.p1v3i8.p3v3i8,0,0,2
air.async_wg_strided_copy.p1v4f16.p3v4f16,0,0,2
air.async_wg_strided_copy.p1v4f32.p3v4f32,0,0,2
air.async_wg_strided_copy.p1v4f64.p3v4f64,0,0,2
air.async_wg_strided_copy.p1v4i16.p3v4i16,0,0,2
air.async_wg_strided_copy.p1v4i32.p3v4i32,0,0,2
air.async_wg_strided_copy.p1v4i64.p3v4i64,0,0,2
air.async_wg_strided_copy.p1v4i8.p3v4i8,0,0,2
air.async_wg_strided_copy.p1v8f16.p3v8f16,0,0,2
air.async_wg_strided_copy.p1v8f32.p3v8f32,0,0,2
air.async_wg_strided_copy.p1v8f64.p3v8f64,0,0,2
air.async_wg_strided_copy.p1v8i16.p3v8i16,0,0,2
air.async_wg_strided_copy.p1v8i32.p3v8i32,0,0,2
air.async_wg_strided_copy.p1v8i64.p3v8i64,0,0,2
air.async_wg_strided_copy.p1v8i8.p3v8i8,0,0,2
air.async_wg_strided_copy.p3f16.p1f16,0,0,2
air.async_wg_strided_copy.p3f32.p1f32,0,0,2
air.async_wg_strided_copy.p3f64.p1f64,0,0,2
air.async_wg_strided_copy.p3i16.p1i16,0,0,2
air.async_wg_strided_copy.p3i32.p1i32,0,0,2
air.async_wg_strided_copy.p3i64.p1i64,0,0,2
air.async_wg_strided_copy.p3i8.p1i8,0,0,2
air.async_wg_strided_copy.p3v16f16.p1v16f16,0,0,2
air.async_wg_strided_copy.p3v16f32.p1v16f32,0,0,2
air.async_wg_strided_copy.p3v16f64.p1v16f64,0,0,2
air.async_wg_strided_copy.p3v16i16.p1v16i16,0,0,2
air.async_wg_strided_copy.p3v16i32.p1v16i32,0,0,2
air.async_wg_strided_copy.p3v16i64.p1v16i64,0,0,2
air.async_wg_strided_copy.p3v16i8.p1v16i8,0,0,2
air.async_wg_strided_copy.p3v2f16.p1v2f16,0,0,2
air.async_wg_strided_copy.p3v2f32.p1v2f32,0,0,2
air.async_wg_strided_copy.p3v2f64.p1v2f64,0,0,2
air.async_wg_strided_copy.p3v2i16.p1v2i16,0,0,2
air.async_wg_strided_copy.p3v2i32.p1v2i32,0,0,2
air.async_wg_strided_copy.p3v2i64.p1v2i64,0,0,2
air.async_wg_strided_copy.p3v2i8.p1v2i8,0,0,2
air.async_wg_strided_copy.p3v3f16.p1v3f16,0,0,2
air.async_wg_strided_copy.p3v3f32.p1v3f32,0,0,2
air.async_wg_strided_copy.p3v3f64.p1v3f64,0,0,2
air.async_wg_strided_copy.p3v3i16.p1v3i16,0,0,2
air.async_wg_strided_copy.p3v3i32.p1v3i32,0,0,2
air.async_wg_strided_copy.p3v3i64.p1v3i64,0,0,2
air.async_wg_strided_copy.p3v3i8.p1v3i8,0,0,2
air.async_wg_strided_copy.p3v4f16.p1v4f16,0,0,2
air.async_wg_strided_copy.p3v4f32.p1v4f32,0,0,2
air.async_wg_strided_copy.p3v4f64.p1v4f64,0,0,2
air.async_wg_strided_copy.p3v4i16.p1v4i16,0,0,2
air.async_wg_strided_copy.p3v4i32.p1v4i32,0,0,2
air.async_wg_strided_copy.p3v4i64.p1v4i64,0,0,2
air.async_wg_strided_copy.p3v4i8.p1v4i8,0,0,2
air.async_wg_strided_copy.p3v8f16.p1v8f16,0,0,2
air.async_wg_strided_copy.p3v8f32.p1v8f32,0,0,2
air.async_wg_strided_copy.p3v8f64.p1v8f64,0,0,2
air.async_wg_strided_copy.p3v8i16.p1v8i16,0,0,2
air.async_wg_strided_copy.p3v8i32.p1v8i32,0,0,2
air.async_wg_strided_copy.p3v8i64.p1v8i64,0,0,2
air.async_wg_strided_copy.p3v8i8.p1v8i8,0,0,2
air.atan.f16,0,0,2
air.atan.f32,0,0,1
air.atan.f64,0,0,2
air.atan.v16f16,0,0,2
air.atan.v16f32,0,0,1
air.atan.v16f64,0,0,2
air.atan.v2f16,0,0,2
air.atan.v2f32,0,0,1
air.atan.v2f64,0,0,2
air.atan.v3f16,0,0,2
air.atan.v3f32,0,0,1
air.atan.v3f64,0,0,2
air.atan.v4f16,0,0,2
air.atan.v4f32,0,0,1
air.atan.v4f64,0,0,2
air.atan.v8f16,0,0,2
air.atan.v8f32,0,0,1
air.atan.v8f64,0,0,2
air.atan2.f16,0,0,2
air.atan2.f32,0,0,1
air.atan2.f64,0,0,2
air.atan2.v16f16,0,0,2
air.atan2.v16f32,0,0,1
air.atan2.v16f64,0,0,2
air.atan2.v2f16,0,0,2
air.atan2.v2f32,0,0,1
air.atan2.v2f64,0,0,2
air.atan2.v3f16,0,0,2
air.atan2.v3f32,0,0,1
air.atan2.v3f64,0,0,2
air.atan2.v4f16,0,0,2
air.atan2.v4f32,0,0,1
air.atan2.v4f64,0,0,2
air.atan2.v8f16,0,0,2
air.atan2.v8f32,0,0,1
air.atan2.v8f64,0,0,2
air.atan2pi.f16,0,0,2
air.atan2pi.f32,0,0,2
air.atan2pi.f64,0,0,2
air.atan2pi.v16f16,0,0,2
air.atan2pi.v16f32,0,0,2
air.atan2pi.v16f64,0,0,2
air.atan2pi.v2f16,0,0,2
air.atan2pi.v2f32,0,0,2
air.atan2pi.v2f64,0,0,2
air.atan2pi.v3f16,0,0,2
air.atan2pi.v3f32,0,0,2
air.atan2pi.v3f64,0,0,2
air.atan2pi.v4f16,0,0,2
air.atan2pi.v4f32,0,0,2
air.atan2pi.v4f64,0,0,2
air.atan2pi.v8f16,0,0,2
air.atan2pi.v8f32,0,0,2
air.atan2pi.v8f64,0,0,2
air.atanh.f16,0,0,2
air.atanh.f32,0,0,1
air.atanh.f64,0,0,2
air.atanh.v16f16,0,0,2
air.atanh.v16f32,0,0,1
air.atanh.v16f64,0,0,2
air.atanh.v2f16,0,0,2
air.atanh.v2f32,0,0,1
air.atanh.v2f64,0,0,2
air.atanh.v3f16,0,0,2
air.atanh.v3f32,0,0,1
air.atanh.v3f64,0,0,2
air.atanh.v4f16,0,0,2
air.atanh.v4f32,0,0,1
air.atanh.v4f64,0,0,2
air.atanh.v8f16,0,0,2
air.atanh.v8f32,0,0,1
air.atanh.v8f64,0,0,2
air.atanpi.f16,0,0,2
air.atanpi.f32,0,0,2
air.atanpi.f64,0,0,2
air.atanpi.v16f16,0,0,2
air.atanpi.v16f32,0,0,2
air.atanpi.v16f64,0,0,2
air.atanpi.v2f16,0,0,2
air.atanpi.v2f32,0,0,2
air.atanpi.v2f64,0,0,2
air.atanpi.v3f16,0,0,2
air.atanpi.v3f32,0,0,2
air.atanpi.v3f64,0,0,2
air.atanpi.v4f16,0,0,2
air.atanpi.v4f32,0,0,2
air.atanpi.v4f64,0,0,2
air.atanpi.v8f16,0,0,2
air.atanpi.v8f32,0,0,2
air.atanpi.v8f64,0,0,2
air.atomic.fence,1,0,2
air.atomic.global.add.s.i32,0,0,2
air.atomic.global.add.u.i32,21,10,12
air.atomic.global.and.s.i32,0,0,2
air.atomic.global.and.u.i32,0,0,2
air.atomic.global.cmpxchg.weak.i32,1,0,2
air.atomic.global.load.i32,10,0,0
air.atomic.global.load.i32__loweringlib.internal.4,1,0,0
air.atomic.global.max.s.i32,0,0,2
air.atomic.global.max.u.i32,10,0,2
air.atomic.global.min.s.i32,0,0,2
air.atomic.global.min.u.i32,0,0,2
air.atomic.global.or.s.i32,0,0,2
air.atomic.global.or.u.i32,10,0,2
air.atomic.global.store.i32,10,0,0
air.atomic.global.sub.s.i32,0,0,2
air.atomic.global.sub.u.i32,10,10,12
air.atomic.global.xchg.i32,0,0,2
air.atomic.global.xor.s.i32,0,0,2
air.atomic.global.xor.u.i32,0,0,2
air.atomic.local.add.s.i32,0,0,2
air.atomic.local.add.u.i32,0,0,2
air.atomic.local.and.s.i32,0,0,2
air.atomic.local.and.u.i32,0,0,2
air.atomic.local.cmpxchg.weak.i32,0,0,2
air.atomic.local.max.s.i32,0,0,2
air.atomic.local.max.u.i32,0,0,2
air.atomic.local.min.s.i32,0,0,2
air.atomic.local.min.u.i32,0,0,2
air.atomic.local.or.s.i32,0,0,2
air.atomic.local.or.u.i32,0,0,2
air.atomic.local.sub.s.i32,0,0,2
air.atomic.local.sub.u.i32,0,0,2
air.atomic.local.xchg.i32,0,0,2
air.atomic.local.xor.s.i32,0,0,2
air.atomic.local.xor.u.i32,0,0,2
air.cbrt.f16,0,0,2
air.cbrt.f32,0,0,2
air.cbrt.f64,0,0,2
air.cbrt.v16f16,0,0,2
air.cbrt.v16f32,0,0,2
air.cbrt.v16f64,0,0,2
air.cbrt.v2f16,0,0,2
air.cbrt.v2f32,0,0,2
air.cbrt.v2f64,0,0,2
air.cbrt.v3f16,0,0,2
air.cbrt.v3f32,0,0,2
air.cbrt.v3f64,0,0,2
air.cbrt.v4f16,0,0,2
air.cbrt.v4f32,0,0,2
air.cbrt.v4f64,0,0,2
air.cbrt.v8f16,0,0,2
air.cbrt.v8f32,0,0,2
air.cbrt.v8f64,0,0,2
air.ceil.f16,0,0,2
air.ceil.f32,0,0,1
air.ceil.f64,0,0,2
air.ceil.v16f16,0,0,2
air.ceil.v16f32,0,0,1
air.ceil.v16f64,0,0,2
air.ceil.v2f16,0,0,2
air.ceil.v2f32,0,0,1
air.ceil.v2f64,0,0,2
air.ceil.v3f16,0,0,2
air.ceil.v3f32,0,0,1
air.ceil.v3f64,0,0,2
air.ceil.v4f16,0,0,2
air.ceil.v4f32,0,0,1
air.ceil.v4f64,0,0,2
air.ceil.v8f16,0,0,2
air.ceil.v8f32,0,0,1
air.ceil.v8f64,0,0,2
air.clamp.f16,0,0,2
air.clamp.f32,0,0,2
air.clamp.f64,0,0,2
air.clamp.s.i16,0,0,2
air.clamp.s.i32,0,0,2
air.clamp.s.i64,0,0,2
air.clamp.s.i8,0,0,2
air.clamp.s.v16i16,0,0,2
air.clamp.s.v16i32,0,0,2
air.clamp.s.v16i64,0,0,2
air.clamp.s.v16i8,0,0,2
air.clamp.s.v2i16,0,0,2
air.clamp.s.v2i32,0,0,2
air.clamp.s.v2i64,0,0,2
air.clamp.s.v2i8,0,0,2
air.clamp.s.v3i16,0,0,2
air.clamp.s.v3i32,0,0,2
air.clamp.s.v3i64,0,0,2
air.clamp.s.v3i8,0,0,2
air.clamp.s.v4i16,0,0,2
air.clamp.s.v4i32,0,0,2
air.clamp.s.v4i64,0,0,2
air.clamp.s.v4i8,0,0,2
air.clamp.s.v8i16,0,0,2
air.clamp.s.v8i32,0,0,2
air.clamp.s.v8i64,0,0,2
air.clamp.s.v8i8,0,0,2
air.clamp.u.i16,0,0,2
air.clamp.u.i32,0,0,2
air.clamp.u.i64,0,0,2
air.clamp.u.i8,0,0,2
air.clamp.u.v16i16,0,0,2
air.clamp.u.v16i32,0,0,2
air.clamp.u.v16i64,0,0,2
air.clamp.u.v16i8,0,0,2
air.clamp.u.v2i16,0,0,2
air.clamp.u.v2i32,0,0,2
air.clamp.u.v2i64,0,0,2
air.clamp.u.v2i8,0,0,2
air.clamp.u.v3i16,0,0,2
air.clamp.u.v3i32,0,0,2
air.clamp.u.v3i64,0,0,2
air.clamp.u.v3i8,0,0,2
air.clamp.u.v4i16,0,0,2
air.clamp.u.v4i32,0,0,2
air.clamp.u.v4i64,0,0,2
air.clamp.u.v4i8,0,0,2
air.clamp.u.v8i16,0,0,2
air.clamp.u.v8i32,0,0,2
air.clamp.u.v8i64,0,0,2
air.clamp.u.v8i8,0,0,2
air.clamp.v16f16,0,0,2
air.clamp.v16f32,0,0,2
air.clamp.v16f64,0,0,2
air.clamp.v2f16,0,0,2
air.clamp.v2f32,0,0,2
air.clamp.v2f64,0,0,2
air.clamp.v3f16,0,0,2
air.clamp.v3f32,0,0,2
air.clamp.v3f64,0,0,2
air.clamp.v4f16,0,0,2
air.clamp.v4f32,0,0,2
