air_name,example_source
air.calculate_clamped_lod_texture_3d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_texture_cube,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_clamped_lod_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_depth_2d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_depth_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_depth_cube,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_texture_2d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_texture_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_texture_3d,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_texture_cube,golden/P06M40/metal40_macosx26/probe.ll
air.calculate_unclamped_lod_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.center,golden/P02/metal32_macosx26/probe.ll
air.clear_barrier_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.clear_barrier_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.commit_bounding_box_intersection_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.commit_curve_intersection_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.commit_triangle_intersection_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.compile.denorms_disable,golden/P01/metal32_macosx26/probe.ll
air.compile.fast_math_enable,golden/P01/metal32_macosx26/probe.ll
air.compile.framebuffer_fetch_enable,golden/P01/metal32_macosx26/probe.ll
air.compile_options,golden/P01/metal32_macosx26/probe.ll
air.concurrent_dispatch_threadgroups_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.concurrent_dispatch_threads_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.convert.f.f32.u.i32,golden/P02/metal32_macosx26/probe.ll
air.convert.s.i32.f.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.copy_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.copy_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.deallocate_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.deallocate_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.dfdx.f16,golden/P07F/metal32_macosx26/probe.ll
air.dfdy.f16,golden/P07F/metal32_macosx26/probe.ll
air.discard_fragment,golden/P07F/metal32_macosx26/probe.ll
air.draw_mesh_threadgroups_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.draw_mesh_threads_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.draw_primitives_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.extract_bits.s.i8,golden/P04/metal32_macosx26/probe.ll
air.fast_fmax3.f32,golden/P03/metal32_macosx26/probe.ll
air.fast_fmedian3.f32,golden/P03/metal32_macosx26/probe.ll
air.fast_fmin3.f32,golden/P03/metal32_macosx26/probe.ll
air.fast_saturate.f32,golden/P05/metal32_macosx26/probe.ll
air.fence_texture_1d,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_1d_array,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_2d,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_3d,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_buffer_1d,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_cube,golden/P06M40/metal40_macosx26/probe.ll
air.fence_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.fragment,golden/P02/metal32_macosx26/probe.ll
air.fragment_input,golden/P02/metal32_macosx26/probe.ll
air.fwidth.f16,golden/P07F/metal32_macosx26/probe.ll
air.gather_compare_depth_2d.f32,golden/P06M40/metal40_macosx26/probe.ll
air.gather_compare_depth_cube_array.f32,golden/P06M40/metal40_macosx26/probe.ll
air.gather_depth_2d.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.gather_depth_cube_array.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.gather_texture_2d.v4f32,golden/P06M40v3/metal40_macosx26/probe.ll
air.gather_texture_2d_array.v4f32,golden/P06M40v3/metal40_macosx26/probe.ll
air.gather_texture_cube.v4f32,golden/P06M40v3/metal40_macosx26/probe.ll
air.gather_texture_cube_array.v4f32,golden/P06M40v3/metal40_macosx26/probe.ll
air.get_array_size_depth_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_array_size_depth_2d_ms_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_array_size_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_array_size_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_candidate_curve_distance_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_curve_parameter_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_geometry_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_instance_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_intersection_type_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_object_to_world_transform_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_primitive_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_ray_direction_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_ray_origin_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_triangle_barycentric_coord_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_triangle_distance_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_user_instance_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_candidate_world_to_object_transform_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_curve_parameter_intersection_query.instancing.triangle_data.curve_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_distance_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_geometry_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_instance_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_intersection_type_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_object_to_world_transform_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_primitive_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_ray_direction_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_ray_origin_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_triangle_barycentric_coord_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_user_instance_id_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_committed_world_to_object_transform_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_data_pointer_typed_global_tensor.s.i32.global,golden/P10T40_run10/metal40_macosx26/probe.ll
air.get_height_depth_2d,golden/P06M40/metal40_macosx26/probe.ll
air.get_height_depth_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_height_depth_2d_ms_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_height_depth_cube,golden/P06M40/metal40_macosx26/probe.ll
air.get_height_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_height_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_instance_count_instance_acceleration_structure,golden/P08M40/metal40_macosx26/probe.ll
air.get_intersection_params_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_null_global_tensor,golden/P10T40_run10/metal40_macosx26/probe.ll
air.get_null_instance_acceleration_structure,golden/P08M40/metal40_macosx26/probe.ll
air.get_null_intersection_function_table,golden/P08M40/metal40_macosx26/probe.ll
air.get_num_mip_levels_depth_2d,golden/P06M40/metal40_macosx26/probe.ll
air.get_num_mip_levels_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_num_mip_levels_texture_3d,golden/P06M40/metal40_macosx26/probe.ll
air.get_num_mip_levels_texture_cube,golden/P06M40/metal40_macosx26/probe.ll
air.get_num_mip_levels_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_num_samples.i32,golden/P07F/metal32_macosx26/probe.ll
air.get_num_samples_depth_2d_ms_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_ray_min_distance_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_read_sampler,golden/P06M40/metal40_macosx26/probe.ll
air.get_sample_position.v2f32,golden/P07F40/metal40_macosx26/probe.ll
air.get_simdgroup_size.i16,golden/P07F40/metal40_macosx26/probe.ll
air.get_size_intersection_function_table,golden/P08M40v5/metal40_macosx26/probe.ll
air.get_stride_global_tensor.i32,golden/P10T40_run10/metal40_macosx26/probe.ll
air.get_width_depth_2d,golden/P06M40/metal40_macosx26/probe.ll
air.get_width_depth_2d_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_width_depth_2d_ms_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_width_depth_cube,golden/P06M40/metal40_macosx26/probe.ll
air.get_width_depth_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_width_texture_cube_array,golden/P06M40/metal40_macosx26/probe.ll
air.get_world_space_ray_direction_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.get_world_space_ray_origin_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.insert_bits.s.i8,golden/P04/metal32_macosx26/probe.ll
air.instance_id,golden/P02/metal32_macosx26/probe.ll
air.interpolate_center_no_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_center_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_centroid_no_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_centroid_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_offset_no_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_offset_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_sample_no_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.interpolate_sample_perspective.f32,golden/P08M40v5/metal40_macosx26/probe.ll
air.intersect.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.is_candidate_non_opaque_bounding_box_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.is_candidate_triangle_front_facing_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.is_committed_triangle_front_facing_intersection_query.instancing.triangle_data,golden/P08M40/metal40_macosx26/probe.ll
air.is_null_depth_2d,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_depth_2d_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_depth_2d_ms,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_depth_2d_ms_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_depth_cube,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_depth_cube_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_function_handle,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_global_tensor,golden/P10T40_run10/metal40_macosx26/probe.ll
air.is_null_instance_acceleration_structure,golden/P08M40/metal40_macosx26/probe.ll
air.is_null_texture_1d,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_1d_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_2d,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_2d_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_2d_ms,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_2d_ms_array,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_3d,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_buffer_1d,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_cube,golden/P07F40/metal40_macosx26/probe.ll
air.is_null_texture_cube_array,golden/P07F/metal32_macosx26/probe.ll
air.kernel,golden/P01/metal32_macosx26/probe.ll
air.language_version,golden/P01/metal32_macosx26/probe.ll
air.load_global_tensor.s.i32.global.f32,golden/P10T40_run10/metal40_macosx26/probe.ll
air.location_index,golden/P01/metal32_macosx26/probe.ll
air.mad_hi.s.i8,golden/P04/metal32_macosx26/probe.ll
air.mad_sat.s.i8,golden/P04/metal32_macosx26/probe.ll
air.map_physical_to_screen_coordinates.v2f32.p2i8.i32,golden/P11M40_run10/metal40_macosx26/probe.ll
air.map_physical_to_screen_coordinates.v2i32.p2i8.i32,golden/P11M40_run10/metal40_macosx26/probe.ll
air.map_screen_to_physical_coordinates.v2f32.p2i8.i32,golden/P11M40_run10/metal40_macosx26/probe.ll
air.max3.s.i8,golden/P04/metal32_macosx26/probe.ll
air.max_constant_buffers,golden/P01/metal32_macosx26/probe.ll
air.max_device_buffers,golden/P01/metal32_macosx26/probe.ll
air.max_read_write_textures,golden/P01/metal32_macosx26/probe.ll
air.max_samplers,golden/P01/metal32_macosx26/probe.ll
air.max_textures,golden/P01/metal32_macosx26/probe.ll
air.max_threadgroup_buffers,golden/P01/metal32_macosx26/probe.ll
air.median3.s.i8,golden/P04/metal32_macosx26/probe.ll
air.min3.s.i8,golden/P04/metal32_macosx26/probe.ll
air.mul_hi.s.i8,golden/P04/metal32_macosx26/probe.ll
air.no_perspective,golden/P02/metal32_macosx26/probe.ll
air.pack.snorm.rgb10a2.v4f16,golden/P07F40/metal40_macosx26/probe.ll
air.pack.snorm2x16.v2f32,golden/P05/metal32_macosx26/probe.ll
air.pack.snorm4x8.v4f32,golden/P05/metal32_macosx26/probe.ll
air.pack.unorm.rgb10a2.v4f32,golden/P05/metal32_macosx26/probe.ll
air.pack.unorm.rgb565.v3f32,golden/P05/metal32_macosx26/probe.ll
air.pack.unorm2x16.v2f32,golden/P05/metal32_macosx26/probe.ll
air.pack.unorm4x8.srgb.v4f32,golden/P05/metal32_macosx26/probe.ll
air.pack.unorm4x8.v4f32,golden/P05/metal32_macosx26/probe.ll
air.perspective,golden/P02/metal32_macosx26/probe.ll
air.position,golden/P02/metal32_macosx26/probe.ll
air.quad_active_threads_mask,golden/P07F40/metal40_macosx26/probe.ll
air.quad_all,golden/P07F40/metal40_macosx26/probe.ll
air.quad_and.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.quad_any,golden/P07F40/metal40_macosx26/probe.ll
air.quad_ballot,golden/P07F40/metal40_macosx26/probe.ll
air.quad_broadcast.f32,golden/P07F/metal32_macosx26/probe.ll
air.quad_broadcast_first.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_is_first,golden/P07F40/metal40_macosx26/probe.ll
air.quad_is_helper_thread,golden/P07F40/metal40_macosx26/probe.ll
air.quad_max.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_min.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_or.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.quad_prefix_exclusive_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_prefix_exclusive_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_prefix_inclusive_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_prefix_inclusive_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_product.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_shuffle.f32,golden/P07F/metal32_macosx26/probe.ll
air.quad_shuffle_and_fill_down.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_shuffle_and_fill_up.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_shuffle_down.f32,golden/P07F/metal32_macosx26/probe.ll
air.quad_shuffle_rotate_down.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_shuffle_rotate_up.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_shuffle_up.f32,golden/P07F/metal32_macosx26/probe.ll
air.quad_shuffle_xor.f32,golden/P07F/metal32_macosx26/probe.ll
air.quad_sum.f32,golden/P07F40/metal40_macosx26/probe.ll
air.quad_vote_all,golden/P11M40_run10/metal40_macosx26/probe.ll
air.quad_vote_any,golden/P11M40_run10/metal40_macosx26/probe.ll
air.quad_xor.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.read,golden/P01/metal32_macosx26/probe.ll
air.read_depth_2d.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.read_depth_2d_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.read_depth_2d_ms_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.read_depth_cube.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.read_depth_cube_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.read_texture_cube.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.read_texture_cube_array.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.read_write,golden/P01/metal32_macosx26/probe.ll
air.render_target,golden/P02/metal32_macosx26/probe.ll
air.reset_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.reset_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.reverse_bits.i8,golden/P04/metal32_macosx26/probe.ll
air.sample,golden/P01/metal32_macosx26/probe.ll
air.sample_compare_depth_2d.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_2d_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_2d_array_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_2d_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_cube.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_cube_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_cube_array_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_compare_depth_cube_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_depth_2d_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_depth_cube_array.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_depth_cube_array_grad.f32,golden/P06M40v2/metal40_macosx26/probe.ll
air.sample_texture_2d.v4f32,golden/P01/metal32_macosx26/probe.ll
air.sample_texture_3d_grad.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.sample_texture_cube_array.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.sample_texture_cube_array_grad.v4f32,golden/P06M40/metal40_macosx26/probe.ll
air.sampler,golden/P01/metal32_macosx26/probe.ll
air.set_barrier_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_barrier_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_buffer_intersection_function_table.p1i8,golden/P08M40v5/metal40_macosx26/probe.ll
air.set_cull_mode_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_depth_bias_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_depth_clip_mode_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_depth_stencil_state_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_fragment_buffer_render_command.p1i8,golden/P08M40v2/metal40_macosx26/probe.ll
air.set_imageblock_size_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_kernel_buffer_compute_command.p1i8,golden/P08M40v2/metal40_macosx26/probe.ll
air.set_mesh_buffer_render_command.p1i8,golden/P08M40v2/metal40_macosx26/probe.ll
air.set_object_buffer_render_command.p1i8,golden/P08M40v2/metal40_macosx26/probe.ll
air.set_object_threadgroup_memory_length_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_stage_in_region_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_threadgroup_memory_length_compute_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_triangle_fill_mode_render_command,golden/P08M40/metal40_macosx26/probe.ll
air.set_vertex_buffer_render_command.p1i8,golden/P08M40v2/metal40_macosx26/probe.ll
air.simd_active_threads_mask.i64,golden/P07F40/metal40_macosx26/probe.ll
air.simd_all,golden/P07F40/metal40_macosx26/probe.ll
air.simd_and.s.i32,golden/P07F40_run10/metal40_macosx26/probe.ll
air.simd_any,golden/P07F40/metal40_macosx26/probe.ll
air.simd_ballot.i64,golden/P07F40/metal40_macosx26/probe.ll
air.simd_broadcast.f32,golden/P07F/metal32_macosx26/probe.ll
air.simd_broadcast_first.f32,golden/P07F40/metal40_macosx26/probe.ll
